"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","165","State Highway 35, Devasthanagalu, Gunjur Village, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2157,1434,3242
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","166","Bellandur - Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1930,1139,3268
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","167","300 5B Road, Shivaji Nagar, Basavanna Nagar, Whitefield, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2736,1843,4059
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","168","Patalamma Layout, V S Reddy Colony, Kadugodi, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",3228,2261,4607
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","M4, Phase 1, Whitefield, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2773,1874,4101
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","170","Shriram Spurthi, Road, Sri Nivasa Reddy Layout, AECS Layout, Brookefield, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2195,1469,3278
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","171","2200 15th B Cross Road, Vanganahalli, 1st Sector, HSR Layout, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2048,1293,3241
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","172","200 4th A Main Road, Roopena Agrahara, Bommanahalli, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2102,1273,3469
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","173","Raj Kumar Statue Road, Jarganahalli, JP Nagar Phase 6, JP Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2228,1545,3212
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","174","0 5th Cross Road, 5th Phase, T Muniyappa Layout, Sahyadri Layout, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2066,1361,3135
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","175","100 Devarachikkanahalli Road, Shanbogh Naggappa Layout, Vijaya Bank Layout, Bilekahalli, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1850,1184,2888
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","176","0 2nd Cross Road, Hongasandra, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2058,1259,3363
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","177","100 11th Main Road, Hosapalaya, Muneshwara Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2168,1350,3479
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","178","Unnamed Road, Sai Meadows, Parappana Agrahara, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2280,1448,3587
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","179","100 Hulimavu Lake Road, Krishna Layout, Hulimavu, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2285,1486,3511
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","180","4th Cross Road, Jayanagar housing society layout, Subramanyapura, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2512,1787,3529
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","181","300 9th Cross Road, Prathiba Industrial Estate, Kumaraswamy Layout, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2283,1590,3277
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","182","469/2, Begur, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2389,1562,3652
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","183","1st G Cross, Royal Lake Front Phase1 and 2, Gottigere, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2652,1783,3944
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","184","0 1st Main Road, Sheryas Colony, 8th Phase, JP Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2517,1715,3693
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","185","Anjanapura 80 Feet Road, Anjanapura Village, Anjanapura Township, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2971,2131,4140
