sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
110,90,20,2780.81,374.19,2756.05,1.14
110,91,4,1661.15,392.85,1616.4,1.26
110,91,9,3718.88,883.36,3615.21,1.27
110,91,14,3493.52,712.5,3419.42,1.23
110,91,19,3231.14,700.73,3157.28,1.24
110,93,7,2078.6,375.42,2048.21,1.18
110,93,12,2736.88,526.73,2692.77,1.19
110,93,17,2891.9,613.65,2833.22,1.22
110,93,22,2169.29,570.1,2102.17,1.28
110,94,1,1362.67,284.75,1336.2,1.21
110,94,6,1555.32,295,1529.21,1.2
110,94,11,2625.76,504.61,2580.47,1.2
110,94,16,2352.11,470.34,2309.49,1.21
110,94,21,2024.95,417.95,1986.93,1.21
110,95,10,2873.13,400.91,2845.59,1.15
110,95,15,2968.57,280.01,2955.05,1.1
110,95,20,2315.57,394.02,2287.17,1.16
110,96,4,967.7,238.19,939.94,1.27
110,96,9,2052.71,566.93,1975.57,1.32
110,96,14,1831.78,465.25,1779.33,1.27
110,96,19,1727.82,490.37,1671.19,1.28
110,97,3,798.65,326.62,735.29,1.51
110,97,8,1139.71,376.19,1088.34,1.34
110,97,13,1157.39,346.81,1106.71,1.4
110,97,18,1438.31,510.19,1361.72,1.39
110,97,23,888.03,388.49,815.09,1.5
110,98,2,528.35,317.94,459.51,1.65
110,98,7,691.82,230.88,658.42,1.36
110,98,12,950.63,343.66,906.73,1.34
110,98,17,909.39,341.04,860.72,1.37
110,98,22,618.07,266.06,572.22,1.46
110,99,1,938.11,165.56,922.85,1.2
110,99,6,1285.13,407.71,1224.52,1.36
110,99,11,1765.68,370.86,1728.5,1.23
110,99,16,1710.83,241.05,1694.04,1.15
110,99,21,1662.81,549.29,1581.65,1.37
169,1,7,3833.28,842.09,3742.52,1.24
169,1,12,4461.31,559.8,4425.84,1.14
169,1,17,5668.08,1266.14,5528.71,1.25
169,1,22,4129.38,675.58,4074.18,1.18
169,2,1,2976.14,373.06,2952.23,1.14
169,2,6,3317.69,414.33,3291.82,1.13
169,2,11,4434.55,792.15,4365.93,1.19
169,2,16,5178.74,700.36,5131.26,1.15
169,2,21,4219.53,516.75,4188.81,1.13
169,3,0,2767.67,220.89,2758.8,1.08
169,3,10,4304.38,689.6,4249.11,1.18
169,3,15,4388,775.26,4319.17,1.2
169,3,20,4443,741.83,4381.19,1.18
169,4,4,1676.59,477.8,1616.37,1.3
169,4,9,2592.96,763.61,2484.37,1.34
169,4,14,2392.11,578.61,2328.09,1.26
169,4,19,3269.65,865.24,3160.46,1.3
169,5,3,1328.2,366.79,1280.1,1.31
169,5,8,1984.3,529.48,1917.56,1.3
169,5,13,1809.27,483.26,1750.29,1.29
169,5,18,2700.83,921.35,2567.17,1.37
169,5,23,1413.16,359.73,1372.64,1.27
169,6,2,701.9,333.2,631.03,1.62
169,6,7,833.91,384.71,756.73,1.58
169,6,12,889.11,411.63,804.73,1.59
169,6,17,1216.52,622.94,1079.25,1.66
169,6,22,786.23,339.92,712.35,1.64
169,7,1,1222.7,400.47,1169.99,1.33
169,7,6,1408.28,449.32,1345.58,1.35
169,7,11,1767.78,564.27,1684.83,1.36
169,7,16,2153.84,777.78,2025.8,1.42
169,7,21,1769.2,527.29,1697.45,1.33
169,8,0,1408.69,380.2,1364.09,1.28
169,8,5,1541.54,417.7,1491.23,1.29
169,8,10,2263.6,675.7,2172.51,1.33
169,8,15,2212.85,643.58,2131.45,1.31
169,8,20,2338.2,713.31,2241.56,1.33
169,9,4,1182.89,361.59,1131.84,1.34
169,9,9,2112.18,808.73,1978.52,1.43
169,9,14,1609.37,465.74,1549.64,1.31
169,9,19,2320.76,842.74,2185.29,1.41
169,10,4,907.52,318.69,860.52,1.37
169,10,9,2129.37,836.41,1974.24,1.48
169,10,14,1511.29,426.94,1457.86,1.3
169,10,19,2199,675.36,2102,1.35
169,11,3,2535.23,440.57,2499.67,1.18
169,11,8,4341.36,1154.44,4182.52,1.32
169,11,13,3803.05,656.1,3747.86,1.19
169,11,18,5657.87,1310.08,5504.53,1.27
169,11,23,2852,475.39,2813.45,1.18
169,12,7,4184.5,746.94,4118.49,1.2
169,12,12,4373.39,727.68,4314.94,1.18
169,12,17,6097.75,1757.25,5847.38,1.34
169,12,22,3772.56,305.75,3760.13,1.08
169,13,1,2731.18,489.76,2692.63,1.18
169,13,6,3238.51,635.64,3182.77,1.2
169,13,11,4233.96,773.09,4171.34,1.18
169,13,16,4569.94,990.97,4474.88,1.22
169,13,21,3922.28,642.28,3873.01,1.17
169,14,0,2126.75,448.36,2085.62,1.21
169,14,5,2207.91,424.12,2169.24,1.21
169,14,10,3301.46,810.32,3209.52,1.27
169,14,15,3469.59,759.91,3389.96,1.24
169,14,20,3560.91,893.33,3461.22,1.26
169,15,4,2384.45,450.3,2344.45,1.2
169,15,9,3521.4,1060.65,3370.52,1.35
169,15,14,3371.11,647.75,3311.58,1.21
169,15,19,4323.08,1058.73,4191.04,1.29
169,16,3,2302.84,408.2,2268.17,1.19
169,16,8,3954.08,1118.97,3795.38,1.34
169,16,13,3651.82,748.63,3584.25,1.21
169,16,18,5344.88,1275.77,5189.48,1.28
169,16,23,2742.97,499.62,2699.49,1.19
169,17,7,3823,478.48,3793.14,1.13
169,17,12,4413.69,646.04,4362.84,1.17
169,17,17,6488.69,1067.46,6396.17,1.19
169,17,22,4024.88,378.95,4006.34,1.1
169,19,5,3011.29,443.75,2980.56,1.15
169,19,10,5268.3,942.31,5196.44,1.17
169,20,8,5878.94,1346.39,5730.78,1.25
169,22,1,2560.5,344.92,2537.85,1.14
169,22,6,3158.47,572.77,3112.72,1.18
169,22,11,4436.16,732.12,4377.95,1.18
169,22,16,5374.74,1279.7,5225.66,1.27
169,22,21,4017.49,754.66,3946.19,1.21
169,23,0,2983.19,598.41,2927.02,1.21
169,23,5,2648.31,485.96,2607.02,1.19
169,23,10,4830.22,1252.03,4664.08,1.31
169,23,15,5436.5,1140.4,5316.67,1.24
169,23,20,4784.54,851.3,4703.69,1.21
169,24,4,2798.33,452.24,2762.51,1.17
169,24,9,4093.2,1093.83,3954.05,1.3
169,24,14,3979.73,690.02,3920.93,1.19
169,24,19,4660,1071.7,4522.66,1.29
169,25,8,5663.92,1171.16,5537.11,1.24
169,25,13,4553.09,630.3,4509.23,1.15
169,25,18,6322.73,1283.16,6187.18,1.24
169,26,7,4366.8,1182.65,4216.67,1.3
169,26,12,4627.75,642.71,4581.5,1.15
169,26,17,6401.69,1497.26,6227.2,1.27
169,26,22,3743.62,743.59,3678.45,1.2
169,27,6,3306.03,574.81,3260.04,1.18
169,27,11,5027.07,806.37,4963.25,1.17
169,27,16,6312.09,1482.99,6131.76,1.28
169,29,9,5041.56,1321.48,4866.81,1.31
169,29,14,5050.75,323.34,5040.28,1.07
169,30,7,4656.44,873.52,4569.24,1.22
169,30,12,4909.78,872.03,4832.3,1.2
169,30,17,6619.57,1648.79,6415.11,1.29
169,30,22,4160.57,363.37,4143.98,1.09
169,31,6,3528.83,502.92,3496.59,1.14
169,31,16,6169.23,1470.61,5997.67,1.27
169,31,21,4786.57,964.31,4690.57,1.22
169,33,9,5066.14,980.88,4961.69,1.23
169,33,14,5196.17,890.52,5118.67,1.19
169,34,8,5569.08,1486.54,5379.58,1.3
169,39,8,5110.56,977.71,5004.4,1.24
169,40,6,3116.34,512.38,3076.41,1.17
169,40,11,4779.19,663.88,4733.33,1.15
169,40,16,5907.43,1253.42,5782.79,1.23
169,40,21,4206.37,631.34,4161.14,1.16
169,41,0,2629.17,339.21,2608.22,1.13
169,41,10,4587.84,934.74,4494.99,1.22
169,41,15,4802.77,632.1,4760.5,1.14
169,41,20,4692.32,676.88,4642.01,1.16
169,45,1,2463.17,440.14,2423.88,1.2
169,45,6,2854.07,623.83,2793.46,1.23
169,45,11,4238.99,727.96,4180.08,1.18
169,45,16,5185.35,1225.45,5051.15,1.25
169,45,21,3694.1,626.87,3641.8,1.18
169,46,0,2595.83,418.56,2560.86,1.18
169,46,5,3042.5,673.8,2973.04,1.24
169,46,10,4214.54,1267.45,4045.31,1.32
169,46,15,4316.07,619.82,4273.32,1.15
169,46,20,3871.1,434.76,3845.96,1.12
169,47,4,2583,754.48,2484.64,1.31
169,47,9,4466.76,1165.34,4319.13,1.3
169,47,14,4477.3,829.36,4405.9,1.19
169,47,19,5129.1,1074.16,5018.34,1.23
169,48,3,2168.33,542.23,2120.1,1.22
169,48,8,4068.6,1327.49,3869.8,1.37
169,48,13,4644.68,1246.54,4513.75,1.26
169,48,18,5239,1296.98,5085.71,1.28
169,48,23,2436,436.75,2398.75,1.19
169,49,2,2092.67,266.15,2076.57,1.13
169,49,7,3579.93,944.7,3468.05,1.28
169,49,12,4354.25,519.33,4324.17,1.12
169,49,17,5842.57,1236.06,5693.02,1.27
169,49,22,3230.03,603.35,3178.21,1.19
169,50,0,2609.43,526.03,2557.13,1.22
169,50,5,2606.3,656.49,2543.9,1.23
169,50,10,4544.24,887.25,4456.54,1.22
169,50,15,4718.62,794.65,4653.28,1.18
169,50,20,4565.12,865.31,4493.15,1.19
169,51,9,4330.5,1003.33,4207.58,1.28
169,51,14,4314.25,1778.57,3677.15,1.99
169,51,19,5114.4,1091.83,4997.02,1.24
169,52,3,2375.8,411.75,2343.8,1.18
169,52,8,4237,1162.24,4073.86,1.33
169,52,13,3727.11,637.56,3673.73,1.18
169,52,18,5390.38,1209.12,5255.53,1.25
169,52,23,2781.74,485.91,2739.14,1.19
169,53,2,2303.89,581.56,2244.15,1.24
169,53,7,3587.31,1019.57,3452.04,1.32
169,53,12,3799.77,666.78,3742.33,1.19
169,53,17,5325.3,1369.54,5153.43,1.29
169,53,22,3164.33,703.81,3092.23,1.24
169,54,1,2292.2,388.89,2259.22,1.19
169,54,6,2772.64,594.4,2715.99,1.22
169,54,11,3756.97,683.99,3697.84,1.19
169,54,16,4716.42,1188.63,4572.74,1.28
169,54,21,3561.78,695.89,3495.36,1.21
169,55,0,2612.44,435.64,2579.79,1.17
169,55,5,2751.38,414.51,2718.79,1.17
169,55,10,3650.73,780.69,3569.84,1.24
169,55,15,3839.68,750.07,3771.85,1.21
169,55,20,4093.7,994.69,3982.52,1.26
169,56,14,3735.31,541.88,3695.6,1.16
169,56,19,4559.11,798.65,4492.05,1.19
169,57,8,4569.85,1153.63,4419.46,1.3
169,57,13,4448.14,866.37,4349.94,1.25
169,57,18,5559.5,967.22,5477.88,1.19
169,57,23,2786.25,481.9,2747.31,1.18
169,58,2,2490.38,603.23,2428.96,1.24
169,58,7,3706.3,715.06,3637.14,1.22
169,58,12,3983.21,701.78,3925.78,1.18
169,58,17,5425.63,1407.39,5250.18,1.29
169,58,22,3243,586.83,3194.74,1.19
169,59,6,2905.43,554.65,2847.41,1.23
169,59,11,4142.24,798.78,4071.94,1.2
169,59,16,4760.67,1198.73,4631.43,1.26
169,59,21,3560.59,523.87,3522.05,1.16
169,61,8,4187.19,1016.94,4065.05,1.28
169,61,13,3427.42,569.76,3378.46,1.19
169,61,18,5785.87,1606.54,5562.71,1.33
169,61,23,2810.25,360.28,2788.4,1.13
169,62,12,4178.13,386.49,4160.44,1.1
169,62,17,5589.25,1449.29,5399,1.3
169,64,10,4465.14,666.21,4416.73,1.16
169,64,15,3272.17,528.39,3232.67,1.17
169,64,20,3759,689.02,3697.8,1.2
169,65,14,3665.75,686.23,3601.15,1.21
169,65,19,4259,833.08,4181.59,1.21
169,66,3,2028.56,355.89,2000.92,1.18
169,66,8,4276.44,1245.11,4075.91,1.38
169,66,13,3403.03,607.11,3354.1,1.18
